Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Wade Baldwin IV (11939222),Wade Baldwin IV,11939222,PG/SG/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,POR,3.98
PF/C,Caleb Swanigan (11939226),Caleb Swanigan,11939226,PF/C/F/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,POR,6.66
PG/SG,Anfernee Simons (11939230),Anfernee Simons,11939230,PG/SG/G/UTIL,3000,CHA@POR 01/11/2019 10:00PM ET,POR,3.46
SG/SF,Damion Lee (11939234),Damion Lee,11939234,SG/SF/F/G/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,GS,8.58
SF/PF,Alfonzo McKinnie (11939239),Alfonzo McKinnie,11939239,SF/PF/F/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,GS,11.38
C,Damian Jones (11939243),Damian Jones,11939243,C/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,GS,13.82
SF,Marcus Derrickson (11939245),Marcus Derrickson,11939245,SF/F/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,GS,2.05
SG/SF,Jacob Evans III (11939248),Jacob Evans III,11939248,SG/SF/F/G/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,GS,2.18
C,Cristiano Felicio (11939253),Cristiano Felicio,11939253,C/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,CHI,7.78
PG/SF,Denzel Valentine (11939255),Denzel Valentine,11939255,PG/SF/F/G/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,CHI,0
PG/SG,Brandon Sampson (11939260),Brandon Sampson,11939260,PG/SG/G/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,CHI,0
PG,Rawle Alkins (11939264),Rawle Alkins,11939264,PG/G/UTIL,3000,CHI@GS 01/11/2019 10:30PM ET,CHI,6.12
PF,Tyler Cavanaugh (11939267),Tyler Cavanaugh,11939267,PF/F/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,UTA,0
PG,Nazareth Mitrou-Long (11939270),Nazareth Mitrou-Long,11939270,PG/G/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,UTA,1.33
SF/PF,Georges Niang (11939273),Georges Niang,11939273,SF/PF/F/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,UTA,5.82
PG/SG,Grayson Allen (11939277),Grayson Allen,11939277,PG/SG/G/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,UTA,5.52
C,Tony Bradley (11939281),Tony Bradley,11939281,C/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,UTA,3.25
PF/C,Moritz Wagner (11939283),Moritz Wagner,11939283,PF/C/F/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,LAL,6.44
PF/C,Johnathan Williams (11939287),Johnathan Williams,11939287,PF/C/F/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,LAL,9.18
PG/SG,Alex Caruso (11939291),Alex Caruso,11939291,PG/SG/G/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,LAL,0.62
SG/SF,Svi Mykhailiuk (11939295),Svi Mykhailiuk,11939295,SG/SF/F/G/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,LAL,5.71
PG/SF,Isaac Bonga (11939300),Isaac Bonga,11939300,PG/SF/F/G/UTIL,3000,LAL@UTA 01/11/2019 10:00PM ET,LAL,3.67
PG/SG,Brandon Knight (11939305),Brandon Knight,11939305,PG/SG/G/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,3.93
SF/PF,Carmelo Anthony (11939309),Carmelo Anthony,11939309,SF/PF/F/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,23.75
PG/SF,Vincent Edwards (11939313),Vincent Edwards,11939313,PG/SF/F/G/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,4.75
SF/PF,Gary Clark (11939318),Gary Clark,11939318,SF/PF/F/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,9.55
PF/C,Marquese Chriss (11939322),Marquese Chriss,11939322,PF/C/F/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,4.12
PF/C,Isaiah Hartenstein (11939326),Isaiah Hartenstein,11939326,PF/C/F/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,HOU,5.83
SF/PF,Jaron Blossomgame (11939330),Jaron Blossomgame,11939330,SF/PF/F/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,CLE,11.33
SG/SF,J.R. Smith (11939334),J.R. Smith,11939334,SG/SF/F/G/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,CLE,14.23
C,John Henson (11939339),John Henson,11939339,C/UTIL,3000,CLE@HOU 01/11/2019 08:00PM ET,CLE,16.02
SG/SF,Malachi Richardson (11939341),Malachi Richardson,11939341,SG/SF/F/G/UTIL,3000,BKN@TOR 01/11/2019 07:30PM ET,TOR,2.49
PG/SG,Jordan Loyd (11939346),Jordan Loyd,11939346,PG/SG/G/UTIL,3000,BKN@TOR 01/11/2019 07:30PM ET,TOR,6.75
SG/SF,Theo Pinson (11939350),Theo Pinson,11939350,SG/SF/F/G/UTIL,3000,BKN@TOR 01/11/2019 07:30PM ET,BKN,6.38
SG/SF,Dzanan Musa (11939355),Dzanan Musa,11939355,SG/SF/F/G/UTIL,3000,BKN@TOR 01/11/2019 07:30PM ET,BKN,2.82
C,Alan Williams (11939445),Alan Williams,11939445,C/UTIL,3000,BKN@TOR 01/11/2019 07:30PM ET,BKN,0
SF/PF,Lance Thomas (11939360),Lance Thomas,11939360,SF/PF/F/UTIL,3000,IND@NY 01/11/2019 07:30PM ET,NY,8.73
PF/C,Isaiah Hicks (11939364),Isaiah Hicks,11939364,PF/C/F/UTIL,3000,IND@NY 01/11/2019 07:30PM ET,NY,0
