,model,lineupNum,team,player_name,concatNameTeam
185,A_pydfs_1.00_Exp,24,CHI,Zach LaVine,Zach LaVineCHI
186,A_pydfs_1.00_Exp,24,DEN,Juancho Hernangomez,Juancho HernangomezDEN
187,A_pydfs_1.00_Exp,24,NOP,Anthony Davis,Anthony DavisNOP
188,A_pydfs_1.00_Exp,24,SAS,Pau Gasol,Pau GasolSAS
189,A_pydfs_1.00_Exp,24,DEN,Will Barton,Will BartonDEN
190,A_pydfs_1.00_Exp,24,NOP,Nikola Mirotic,Nikola MiroticNOP
191,A_pydfs_1.00_Exp,24,OKC,Steven Adams,Steven AdamsOKC
192,A_pydfs_1.00_Exp,25,NOP,Jrue Holiday,Jrue HolidayNOP
193,A_pydfs_1.00_Exp,25,CHI,Zach LaVine,Zach LaVineCHI
194,A_pydfs_1.00_Exp,25,BOS,Jayson Tatum,Jayson TatumBOS
195,A_pydfs_1.00_Exp,25,NOP,Anthony Davis,Anthony DavisNOP
196,A_pydfs_1.00_Exp,25,CHI,Bobby Portis,Bobby PortisCHI
197,A_pydfs_1.00_Exp,25,DEN,Will Barton,Will BartonDEN
198,A_pydfs_1.00_Exp,25,MIN,Taj Gibson,Taj GibsonMIN
199,A_pydfs_1.00_Exp,25,OKC,Dennis Schroder,Dennis SchroderOKC
200,A_pydfs_1.00_Exp,26,CHI,Zach LaVine,Zach LaVineCHI
201,A_pydfs_1.00_Exp,26,DEN,Will Barton,Will BartonDEN
202,A_pydfs_1.00_Exp,26,CHA,Michael Kidd-Gilchrist,Michael Kidd-GilchristCHA
203,A_pydfs_1.00_Exp,26,NOP,Anthony Davis,Anthony DavisNOP
204,A_pydfs_1.00_Exp,26,ORL,Nikola Vucevic,Nikola VucevicORL
205,A_pydfs_1.00_Exp,26,OKC,Dennis Schroder,Dennis SchroderOKC
206,A_pydfs_1.00_Exp,26,NOP,Nikola Mirotic,Nikola MiroticNOP
207,A_pydfs_1.00_Exp,26,CHI,Bobby Portis,Bobby PortisCHI
208,A_pydfs_1.00_Exp,27,NOP,Jrue Holiday,Jrue HolidayNOP
209,A_pydfs_1.00_Exp,27,CHI,Zach LaVine,Zach LaVineCHI
210,A_pydfs_1.00_Exp,27,DEN,Will Barton,Will BartonDEN
211,A_pydfs_1.00_Exp,27,NOP,Anthony Davis,Anthony DavisNOP
212,A_pydfs_1.00_Exp,27,SAS,Pau Gasol,Pau GasolSAS
213,A_pydfs_1.00_Exp,27,OKC,Dennis Schroder,Dennis SchroderOKC
214,A_pydfs_1.00_Exp,27,ORL,Evan Fournier,Evan FournierORL
215,A_pydfs_1.00_Exp,27,OKC,Steven Adams,Steven AdamsOKC
216,A_pydfs_1.00_Exp,28,NOP,Jrue Holiday,Jrue HolidayNOP
217,A_pydfs_1.00_Exp,28,CHI,Zach LaVine,Zach LaVineCHI
218,A_pydfs_1.00_Exp,28,DEN,Will Barton,Will BartonDEN
219,A_pydfs_1.00_Exp,28,NOP,Anthony Davis,Anthony DavisNOP
220,A_pydfs_1.00_Exp,28,NOP,Nikola Mirotic,Nikola MiroticNOP
221,A_pydfs_1.00_Exp,28,ORL,Evan Fournier,Evan FournierORL
222,A_pydfs_1.00_Exp,28,SAC,Iman Shumpert,Iman ShumpertSAC
223,A_pydfs_1.00_Exp,28,OKC,Dennis Schroder,Dennis SchroderOKC
224,A_pydfs_1.00_Exp,29,NOP,Jrue Holiday,Jrue HolidayNOP
225,A_pydfs_1.00_Exp,29,CHI,Zach LaVine,Zach LaVineCHI
226,A_pydfs_1.00_Exp,29,CHA,Michael Kidd-Gilchrist,Michael Kidd-GilchristCHA
227,A_pydfs_1.00_Exp,29,NOP,Anthony Davis,Anthony DavisNOP
228,A_pydfs_1.00_Exp,29,NOP,Nikola Mirotic,Nikola MiroticNOP
229,A_pydfs_1.00_Exp,29,DEN,Will Barton,Will BartonDEN
230,A_pydfs_1.00_Exp,29,BOS,Jayson Tatum,Jayson TatumBOS
231,A_pydfs_1.00_Exp,29,CHI,Bobby Portis,Bobby PortisCHI
232,A_pydfs_1.00_Exp,30,NOP,Jrue Holiday,Jrue HolidayNOP
233,A_pydfs_1.00_Exp,30,CHI,Zach LaVine,Zach LaVineCHI
234,A_pydfs_1.00_Exp,30,DEN,Will Barton,Will BartonDEN
235,A_pydfs_1.00_Exp,30,NOP,Anthony Davis,Anthony DavisNOP
236,A_pydfs_1.00_Exp,30,SAS,Pau Gasol,Pau GasolSAS
237,A_pydfs_1.00_Exp,30,OKC,Dennis Schroder,Dennis SchroderOKC
238,A_pydfs_1.00_Exp,30,CHI,Bobby Portis,Bobby PortisCHI
239,A_pydfs_1.00_Exp,30,OKC,Steven Adams,Steven AdamsOKC
240,A_pydfs_1.00_Exp,31,NOP,Jrue Holiday,Jrue HolidayNOP
241,A_pydfs_1.00_Exp,31,CHI,Zach LaVine,Zach LaVineCHI
242,A_pydfs_1.00_Exp,31,DEN,Will Barton,Will BartonDEN
243,A_pydfs_1.00_Exp,31,NOP,Anthony Davis,Anthony DavisNOP
244,A_pydfs_1.00_Exp,31,NOP,Nikola Mirotic,Nikola MiroticNOP
245,A_pydfs_1.00_Exp,31,OKC,Dennis Schroder,Dennis SchroderOKC
