NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
1628370,Malik Monk,CHA,20,1,0,1,20,10,4,11,36.4,2,6,33.3,0,0,0,0,0,0,1,3,1,0,2,11.5,0,0,-3,1,0,0,0,0,1,0,0,13,Malik MonkCHA
1627812,Yogi Ferrell,SAC,25,1,1,0,18,5,2,5,40,1,4,25,0,0,0,0,2,2,3,0,0,0,0,11.9,0,0,6,0,0,0,0,0,0,0,0,12.5,Yogi FerrellSAC
201976,Patrick Beverley,LAC,30,1,0,1,34,3,1,2,50,1,2,50,0,0,0,1,2,3,2,0,1,0,3,12.6,0,0,-1,0,0,0,0,0,0,0,0,12.25,Patrick BeverleyLAC
201988,Patty Mills,SAS,30,1,0,1,16,4,2,7,28.6,0,2,0,0,0,0,1,1,2,4,1,0,0,4,11.4,0,0,-3,0,0,0,0,0,0,0,0,12,Patty MillsSAS
1627885,Shaquille Harrison,CHI,25,1,0,1,14,5,2,6,33.3,0,0,0,1,1,100,0,3,3,2,0,0,0,2,11.6,0,0,-1,0,0,0,0,0,0,0,0,11.75,Shaquille HarrisonCHI
202734,E'Twaun Moore,NOP,29,1,0,1,31,2,1,6,16.7,0,3,0,0,0,0,0,3,3,2,2,2,0,0,12.6,0,0,-4,0,0,0,0,0,0,0,0,11.75,E'Twaun MooreNOP
201967,Dante Cunningham,SAS,31,1,0,1,4,7,3,3,100,1,1,100,0,0,0,1,1,2,1,0,0,0,0,10.9,0,0,6,0,0,0,0,0,0,0,0,11.5,Dante CunninghamSAS
201956,Omri Casspi,MEM,30,1,0,1,17,4,1,5,20,0,3,0,2,2,100,1,5,6,0,0,0,0,3,11.2,0,0,16,0,0,0,0,0,0,0,0,11.5,Omri CasspiMEM
1626169,Stanley Johnson,DET,22,1,1,0,11,2,1,3,33.3,0,1,0,0,0,0,0,2,2,2,1,1,1,2,12.4,0,0,-15,0,0,0,0,0,0,0,0,11,Stanley JohnsonDET
1628970,Miles Bridges,CHA,20,1,0,1,15,2,1,6,16.7,0,2,0,0,0,0,1,5,6,1,0,0,0,1,10.7,0,0,-6,0,0,0,0,0,0,0,0,11,Miles BridgesCHA
1626195,Willy Hernangomez,CHA,24,1,0,1,11,3,1,4,25,0,0,0,1,7,14.3,3,3,6,1,2,0,0,0,9.7,0,0,-6,0,0,0,0,0,0,0,0,11,Willy HernangomezCHA
1628379,Luke Kennard,DET,22,1,1,0,13,6,2,3,66.7,2,2,100,0,0,0,0,1,1,1,2,0,1,4,9.7,0,0,-8,0,0,0,0,0,0,0,0,10.75,Luke KennardDET
